# Modes from https://lotw.arrl.org/lotw-help/frequently-asked-questions/?lang=en#modes
# As of 2016-10-30
CW	CW
PHONE	PHONE
AM	PHONE
FM	PHONE
SSB	PHONE
ATV	IMAGE
FAX	IMAGE
IMAGE	IMAGE
SSTV	IMAGE
DATA	DATA
AMTOR	DATA
CHIP	DATA
CLOVER	DATA
CONTESTI	DATA
DOMINO	DATA
FSK31	DATA
FSK441	DATA
GTOR	DATA
HELL	DATA
HFSK	DATA
ISCAT	DATA
JT4	DATA
JT65	DATA
JT6M	DATA
JT9	DATA
MFSK16	DATA
MFSK8	DATA
MINIRTTY	DATA
MT63	DATA
OLIVIA	DATA
OPERA	DATA
PACKET	DATA
PACTOR	DATA
PAX	DATA
PSK10	DATA
PSK125	DATA
PSK2K	DATA
PSK31	DATA
PSK63	DATA
PSK63F	DATA
PSKAM	DATA
PSKFEC31	DATA
Q15	DATA
ROS	DATA
RTTY	DATA
RTTYM	DATA
THOR	DATA
THROB	DATA
VOI	DATA
WINMOR	DATA
WSPR	DATA     * 
